NO.,MAKE,MODEL,YR OF MANUFACTURE,ENGINE SIZE,MILEAGE,COLOUR,PRICE
31,Nissan,Sylphy,2013,1800,82000,Black,11990
35,Nissan,Note,2013,1200,77134,Black,7600
39,Nissan,Note,2013,1200,76000,Silver,6700
43,Nissan,NV350,2013,2500,123000,White,15000
44,Nissan,NV350,2013,2500,129000,Black,18500
49,Nissan,Juke,2013,1500,75042,Grey,11000
50,Nissan,Juke,2013,1500,40000,Black,13000
55,Nissan,Murano,2013,2500,65054,Silver,19000
64,Toyota,Filder,2013,1500,112000,Silver,12500
69,Toyota,Probox,2013,1500,143560,White,7000
70,Toyota,V8,2013,4600,16578,Pearl,85000
72,Toyota,Hillux,2013,2500,136789,Silver,20000
91,Toyota,Probox,2013,1500,143566,White,7000
93,Toyota,Hillux,2013,2500,136789,Grey,20000
109,Toyota,Probox,2013,1300,143566,White,7000
111,Toyota,Isis,2013,1800,63000,Black,10300
112,Toyota,Hillux,2013,2400,136769,Silver,20000
114,Toyota,Prado,2013,2700,58000,Grey,47500
115,Toyota,Prado,2013,3500,54000,Black,44500
118,Toyota,Fielder,2013,1500,112000,Black,13500
119,Toyota,Axio,2013,1300,64000,Pearl,12800
120,Toyota,Prado,2013,2700,64000,Black,44000
125,Subaru,Impreza,2013,1500,78,Silver,10400
130,Subaru,XV,2013,2000,100000,Silver,17600
132,Subaru,XV,2013,2000,153000,Orange,21000
145,Subaru,Forester,2013,2400,33000,Black,22450
148,Subaru,Forester,2013,2500,58000,Black,23500
150,Subaru,Forester,2013,2000,71320,Silver,17000
151,Subaru,XV,2013,2000,100000,Silver,17600
152,Subaru,XV,2013,2000,69845,Red,18500
157,Subaru,Trezia,2013,1500,86000,Blue,9700
158,Subaru,XV,2013,2000,150000,Orange,19850
160,Subaru,XV,2013,2000,152000,Orange,20000
164,Subaru,Forester,2013,2000,52963,Blue,24000
165,Subaru,Forester,2013,2000,59075,White,22000
4,Nissan,Xtrail,2014,2000,65000,Black,21500
23,Nissan,Xtrail,2014,2000,64020,Grey,22500
38,Nissan,Xtrail,2014,2000,63000,Grey,23500
68,Toyota,Rush,2014,1500,35700,Black,15500
74,Toyota,Hillux,2014,2500,121000,White,24900
96,Toyota,Landcruiser,2014,2800,96789,Black,43000
60,Nissan,Juke,2015,1500,72512,Maroon,12000
133,Subaru,Outback,2015,2500,40631,White,36500
144,Subaru,Outback,2015,2500,60000,Grey,37000
146,Subaru,Outback,2015,2500,72000,Gold,37000
147,Subaru,Outback,2015,2500,69000,Grey,36000
149,Subaru,Outback,2015,2500,92000,White,35000
161,Subaru,WRX ST1,2015,2500,92000,Silver,37500
79,Toyota,Prado,2018,2700,26000,Black,50000
